,related,request,offer,aid_related,medical_help,medical_products,search_and_rescue,security,military,child_alone,water,food,shelter,clothing,money,missing_people,refugees,death,other_aid,infrastructure_related,transport,buildings,electricity,tools,hospitals,shops,aid_centers,other_infrastructure,weather_related,floods,storm,fire,earthquake,cold,other_weather,direct_report
transport,0.11367450795417902,0.025355191843503357,-0.003966395861812552,0.1549203850172263,0.233834258625867,0.12171684541186628,0.17995816636209938,0.14737351656487105,0.01998059797716422,0.0,0.02323184268455489,0.014755573166137478,0.02603283161872917,0.021205365824186244,0.027065528360259116,0.20305764175290925,0.1417987346221264,0.1346321316287396,0.11744254865653389,0.1247439796397227,1.0,0.12498279873077744,0.12064903176605413,0.03921428528303359,0.0317709916922412,0.04453879700324691,0.043606568498782465,0.13361470559562566,0.25654853897204083,0.39660929471954376,0.09437662974729429,0.0389767471347017,0.034052266540213406,0.07081523872393262,0.059541806378660314,0.03957866576708788
buildings,0.12006606923828227,0.06259475612229269,-0.015647262418522254,0.14963879076383635,0.04018360315786792,0.03185958035010897,0.09330316803985796,0.04311676527536305,0.006030817828908709,0.0,0.03174117743393373,0.014728265546321711,0.2168447139649723,0.014499087020795925,0.03612065485836144,0.03557153082444575,0.08918718634544748,0.11980611939979799,0.08232820084266566,0.24708504179833907,0.12498279873077744,1.0,0.09064740187733056,0.02436014410658831,0.06310705904322272,0.08967757693261505,0.08080270629702789,0.24929724313343657,0.21794404588149752,0.16292396307361906,0.11288760927502788,0.07171353764266175,0.11799486023950213,0.0542473603865353,0.09951878594286954,0.07516741846625304
electricity,0.07474245051386876,0.0105563547069237,-0.0017063589124202711,0.06980181448521504,0.020425753856277,0.047307138827445944,0.0564344144217256,0.03334611168282399,0.012850180577824468,0.0,0.06283370037772816,0.0002550870141455924,0.023534209344261245,0.019085538721014882,0.021045598429623676,0.022652280816488287,0.016754107232774755,0.013756610346871345,0.08848372958664767,0.10103035702965314,0.12064903176605413,0.09064740187733056,1.0,0.04090124545139586,0.02935487375820857,0.03422300698576162,0.03678950362075172,0.10747874251422923,0.13266047085940635,0.05603029639106919,0.12725830812697136,0.08704965231190483,0.015778896756727282,0.08288730618836021,0.05807671595073642,0.04952540718097797
tools,0.04048987024486163,0.019343074525628792,-0.005276724965120303,0.085765007183045,0.05324909144803968,0.0766178265901431,0.09176221834056811,0.06710353941812959,0.03525562314309758,0.0,0.03384668565381092,0.026856810461487888,0.046594505745788196,0.02998715344488478,0.024021292179338058,0.03787457046743093,0.023742967425238008,0.022941800260207913,0.05826485574475143,0.061077153647475714,0.03921428528303359,0.02436014410658831,0.04090124545139586,1.0,0.03938001075648378,0.03109245743104835,0.023331148062539893,0.05039696642267038,0.07310317385084612,0.03201001974461195,0.018823498830626176,0.06329109863673442,0.038999076499927725,0.09698916835204868,0.0388876478351661,0.016382143223605993
hospitals,0.05414735236308113,0.016301205131443723,-0.001565245644822607,0.10829459711423034,0.16427736574713434,0.0994929439212134,0.07474432936961467,0.041445900606136926,0.03049065664748424,0.0,0.03611910761129459,0.0015933395749381794,0.027244674171281107,0.04668256258448563,0.02823976299096428,0.020062596338608234,0.023703656705174367,0.028454980857966224,0.02814262827684163,0.3960780612109427,0.0317709916922412,0.06310705904322272,0.02935487375820857,0.03938001075648378,1.0,0.04213042650811531,0.13565902696344598,0.04607053426825276,0.06600217515004075,0.02376769171594085,0.010866179720933813,0.035622217296018804,0.045010932194437234,0.05842708973928332,0.03664927193888747,0.02068029957763343
shops,0.035149048128940555,0.032258139707838154,-0.004580697805165214,0.0644533293943449,0.036417087171677714,0.04398454065546682,0.023052183091391155,0.046131341697132976,0.02240460290926494,0.0,0.04700055768733642,0.04229898334960802,0.048521487709425756,0.014374574704629734,0.027248891337002902,0.02464492463326243,0.043986423961276784,0.03662484821706542,0.02543527782099717,0.2571089116781319,0.04453879700324691,0.08967757693261505,0.03422300698576162,0.03109245743104835,0.04213042650811531,1.0,0.029243817207518605,0.048901401409308376,0.08013478538202035,0.043421713869886025,0.03261112120687141,0.04222932962296435,0.05388157611894487,0.05851382615223541,0.027112367738777263,0.035370945804280726
aid_centers,0.05660843400757786,0.022702670688756355,-0.0021194450728829763,0.11603573469053854,0.060576602341393365,0.08019272029700865,0.044135734279541206,0.03311870280634274,0.0314698421758179,0.0,0.059649291992632414,0.03864882005828363,0.15640559920988586,0.03495783645743112,0.03505072728833497,0.03153637914252841,0.12521908182667288,0.03539844657343783,0.06624614848098455,0.41408042704593234,0.043606568498782465,0.08080270629702789,0.03678950362075172,0.023331148062539893,0.13565902696344598,0.029243817207518605,1.0,0.0852691577088698,0.07009983214506343,0.03929354483178264,0.0390373672387492,0.05370674838078686,0.04135738586367619,0.0345323553604601,0.04402175613464594,0.02155389441270205
other_infrastructure,0.11107512383226667,-0.0028489219818484714,-0.014475543521987539,0.13122779231630335,0.03462469838496608,0.04376405741353574,0.061580954996808865,0.03267814987738065,0.033686854659661924,0.0,0.055954097257302195,0.025595969854964234,0.09713745558941224,0.004777687635629709,0.0527070318208342,0.029575774848591942,0.08031478910759635,0.06734101848934643,0.13582996740744496,0.8124943838667013,0.13361470559562566,0.24929724313343657,0.10747874251422923,0.05039696642267038,0.04607053426825276,0.048901401409308376,0.0852691577088698,1.0,0.2127836842719562,0.18169512082479672,0.12380867844048303,0.05344990402444644,0.0666571081999083,0.030058847430037377,0.16410709538754314,0.0027738715928789306
weather_related,0.32208284068152354,-0.015204749044165116,-0.014123764726539008,0.20833152329829188,0.09635935262897198,0.045975129565271014,0.14346720122393172,0.07993266922358215,-0.0155839957630279,0.0,-0.0001472355092706695,-0.015497734100614809,0.09106347245473241,0.01163119760840143,0.06903448122236823,0.1231691371127477,0.10508245284814015,0.16751983549547625,0.1695316400875489,0.2332668007590575,0.25654853897204083,0.21794404588149752,0.13266047085940635,0.07310317385084612,0.06600217515004075,0.08013478538202035,0.07009983214506343,0.2127836842719562,1.0,0.48199733338181866,0.516486595330055,0.16781570361388898,0.5170681944660362,0.2311709303319507,0.3787734577300697,0.07849443112390353
floods,0.15524307033643944,-0.005863842372295118,-0.0016496348844295939,0.16713017458835097,0.18568565240957507,0.09146690389509728,0.1434555747056481,0.1068021647907863,-0.0006359515720021269,0.0,0.021091749318879055,0.012655945407986062,0.06795992684112584,0.009630521509223413,0.045573106515777624,0.1730253369047183,0.14739885186856783,0.15864618350446233,0.10639245460852646,0.17200355200554746,0.39660929471954376,0.16292396307361906,0.05603029639106919,0.03201001974461195,0.02376769171594085,0.043421713869886025,0.03929354483178264,0.18169512082479672,0.48199733338181866,1.0,0.20579008763574552,0.04141063545021807,0.003340348415727506,0.044728233347265806,0.10249785306329429,0.0023493277796806772
storm,0.16635146979781587,-0.046142463527056914,-0.013878033034883048,0.05931241027419915,0.006806388389361548,0.0001556502135990666,0.038697992936783304,0.0029647620256677415,-0.03189342215352752,0.0,-0.004487427805526657,-0.0011200484931310679,0.05419487057202583,-0.0031050702062736823,0.023226989799501017,0.030953203646896296,0.0373299708884398,0.07934251642566041,0.05815700418535772,0.11895147031318962,0.09437662974729429,0.11288760927502788,0.12725830812697136,0.018823498830626176,0.010866179720933813,0.03261112120687141,0.0390373672387492,0.12380867844048303,0.516486595330055,0.20579008763574552,1.0,0.027525718529759824,-0.01851795845416596,0.08056872350598061,0.15547612693913815,0.0704786293133231
fire,0.05405055853089431,-0.009045052622716888,-0.001543009544513236,0.05325234841656759,0.02669757675932052,0.03365829799214253,0.052372451915228976,0.05827190582726035,0.043068019442857736,0.0,0.013592290369095712,0.007595562849865622,0.016989674419863623,0.007879762652313162,0.0036987419000411976,0.009690228261666814,0.03204425618543716,0.03567434284494805,0.03490073638103205,0.07595892336141961,0.0389767471347017,0.07171353764266175,0.08704965231190483,0.06329109863673442,0.035622217296018804,0.04222932962296435,0.05370674838078686,0.05344990402444644,0.16781570361388898,0.04141063545021807,0.027525718529759824,1.0,0.017274276416743145,0.04019092124658051,0.06996379624337759,0.004057384772232824
earthquake,0.1665387928995879,0.0068440973920026816,-0.011961053621693972,0.0802418199568689,0.015801475552621635,0.004207072968138262,0.06572813098741878,0.01963706993791013,-0.019484142841932117,0.0,-0.018047710921141803,-0.056642422478213945,0.021190697882130714,-0.003184397504397174,0.062392132827684625,0.05305796091225288,0.017495806996028405,0.09356437989296723,0.10435617050909828,0.09370469483734715,0.034052266540213406,0.11799486023950213,0.015778896756727282,0.038999076499927725,0.045010932194437234,0.05388157611894487,0.04135738586367619,0.0666571081999083,0.5170681944660362,0.003340348415727506,-0.01851795845416596,0.017274276416743145,1.0,0.03759066842115337,0.01656614459571771,0.02800548261673785
cold,0.07445618992427853,-0.001873412919514872,-0.009703287113670217,0.08087525717516944,0.030832882030171937,0.04027789559583924,0.06509489233787621,0.03769669150325925,0.011575722764963811,0.0,0.006812783111377131,0.0023611676357258695,0.0716828645627203,0.04124151594875997,0.0050310616551406525,0.027957183985396362,0.03209850193047201,0.05301149473941916,0.033095663304328074,0.0775084241719815,0.07081523872393262,0.0542473603865353,0.08288730618836021,0.09698916835204868,0.05842708973928332,0.05851382615223541,0.0345323553604601,0.030058847430037377,0.2311709303319507,0.044728233347265806,0.08056872350598061,0.04019092124658051,0.03759066842115337,1.0,0.07434570186540723,0.003609771784354771
other_weather,0.12199643124042808,-0.015551981782883402,-0.005720487724496372,0.125634271755101,0.0388136690870059,0.032147488485588745,0.04486905173423697,0.013225298138880022,0.006573751636242045,0.0,0.04834783791497249,0.045147023860105155,0.05315449945499681,0.0023313110294624715,0.03225025510865701,0.031091236591535256,0.04569034173122447,0.08460113738226438,0.09664936720048899,0.15779349955428215,0.059541806378660314,0.09951878594286954,0.05807671595073642,0.0388876478351661,0.03664927193888747,0.027112367738777263,0.04402175613464594,0.16410709538754314,0.3787734577300697,0.10249785306329429,0.15547612693913815,0.06996379624337759,0.01656614459571771,0.07434570186540723,1.0,0.0031481279773236076
direct_report,0.2541253293194906,0.6478322395801996,0.018568119755706873,0.37444263543215794,0.09892504990810272,0.06249557662951818,0.05692639590026807,0.048463652079247486,-0.03830851028339948,0.0,0.1932300608213789,0.2980588982859616,0.2340015933165231,0.06667091247014698,0.016673808047630693,0.00821772435092496,0.005474884387681207,0.01071474696598056,0.19265275622010272,0.03111526611625163,0.03957866576708788,0.07516741846625304,0.04952540718097797,0.016382143223605993,0.02068029957763343,0.035370945804280726,0.02155389441270205,0.0027738715928789306,0.07849443112390353,0.0023493277796806772,0.0704786293133231,0.004057384772232824,0.02800548261673785,0.003609771784354771,0.0031481279773236076,1.0
